Matrix,Compound,Class,Median Conc
Sediment,8:2 FTAB,Primary FT-based precursor,0.1
Sediment,10:2 FTAB,Primary FT-based precursor,0.1
Sediment,12:2 FTAB,Primary FT-based precursor,0.2
Sediment,6:2 FtSaAm,Primary FT-based precursor,4.8
Sediment,8:2 FtSaAm,Primary FT-based precursor,0.2
ECF-based AFFF,PFCA (11),PFCA,0.1
ECF-based AFFF,Me/Et-FOSA(A),Secondary ECF-based precursor,0.2
ECF-based AFFF,PFCA (9),PFCA,0.25
ECF-based AFFF,FASA (4/6/8),Secondary ECF-based precursor,0.3
ECF-based AFFF,PFPA (8/10),PFPA,0.5
ECF-based AFFF,PFCA (10),PFCA,0.55
ECF-based AFFF,PFCA (8),PFCA,0.6
ECF-based AFFF,Me/Et-FOSE,Secondary ECF-based precursor,0.9
ECF-based AFFF,PFCA (12),PFCA,4.05
ECF-based AFFF,n:2 FTS (4/6/8),Secondary FT-based precursor,6.75
ECF-based AFFF,PFSA (2),PFSA,9
ECF-based AFFF,AmPr-FASA (7),Primary ECF-based precursor,19.5
ECF-based AFFF,PFSA (10),PFSA,20.1
ECF-based AFFF,PFCA (6),PFCA,22.8
ECF-based AFFF,AmPr-FASA-PrA (7),Primary ECF-based precursor,25.5
ECF-based AFFF,PFCA (3),PFCA,27.6
ECF-based AFFF,PFSA (9),PFSA,28.5
ECF-based AFFF,FtTAoS (6),Primary FT-based precursor,40.4
ECF-based AFFF,PFCA (4),PFCA,46.3
ECF-based AFFF,AmPr-FASA-PrA (8),Primary ECF-based precursor,61.5
ECF-based AFFF,AmPr-FASA (8),Primary ECF-based precursor,62
ECF-based AFFF,PFCA (7),PFCA,93
ECF-based AFFF,PFCA (5),PFCA,100
ECF-based AFFF,PFSA (5),PFSA,120
ECF-based AFFF,PFSA (7),PFSA,120
ECF-based AFFF,PFSA (4),PFSA,130
ECF-based AFFF,PFSA (3),PFSA,184
ECF-based AFFF,AmPr-FASA-PrA (5),Primary ECF-based precursor,450
ECF-based AFFF,AmPr-FASA (5),Primary ECF-based precursor,500
