PFAS,conc
n:2 FTS (6),1.6
n:2 FTS (6),0.1
n:2 FTS (6),129
n:2 FTS (6),113
n:2 FTS (6),139
n:2 FTS (6),49
n:2 FTS (6),211
n:2 FTS (6),170
n:2 FTS (6),20.3
n:2 FTS (6),26.6
n:2 FTS (6),38.9
n:2 FTS (6),130
n:2 FTS (6),162
n:2 FTS (6),200
n:2 FTS (6),0.1
n:2 FTS (6),35.3
n:2 FTS (6),135
n:2 FTS (6),194
n:2 FTS (6),0.8
n:2 FTS (6),240
n:2 FTS (6),52.1
n:2 FTS (6),127.4
n:2 FTS (6),24.6
n:2 FTS (6),345.2
n:2 FTS (6),0.9
n:2 FTS (6),38.9
n:2 FTS (6),190.4
n:2 FTS (6),0.6
n:2 FTS (6),0.3
n:2 FTS (6),157.7
n:2 FTS (6),218.4
n:2 FTS (6),97.8
n:2 FTS (6),116
n:2 FTS (6),7.6
n:2 FTS (6),6.9
n:2 FTS (6),53.7
n:2 FTS (6),178.2
n:2 FTS (6),2.3
n:2 FTS (6),87.6
n:2 FTS (6),93.2
n:2 FTS (6),5.3
n:2 FTS (8),19
n:2 FTS (8),56
n:2 FTS (8),27.8
n:2 FTS (8),35.7
n:2 FTS (8),2.6
n:2 FTS (8),166
n:2 FTS (8),2.1
n:2 FTS (8),1.3
n:2 FTS (8),0.7
n:2 FTS (8),1.3
n:2 FTS (8),1.6
n:2 FTS (8),1.8
n:2 FTS (8),5.2
n:2 FTS (8),9.5
n:2 FTS (8),1.1
n:2 FTS (8),2.1
n:2 FTS (8),0.4
n:2 FTS (8),26.8
n:2 FTS (8),3
n:2 FTS (8),1.8
n:2 FTS (8),0.3
n:2 FTS (8),25.2
n:2 FTS (8),0.1
n:2 FTS (8),81.8
n:2 FTS (8),5.6
n:2 FTS (8),35.6
n:2 FTS (8),29.7
n:2 FTS (8),1.3
n:2 FTS (8),18.8
n:2 FTS (8),25.9
n:2 FTS (8),3.1
PFPAs (8/10),0.5
PFPAs (8/10),1.3
FOSA-based,0.2
FOSA-based,0.3
FOSA-based,0.1
FOSA-based,0.6
FOSA-based,0.3
FOSA-based,0.2
FOSA-based,0.2
n:2 FtTAoS (4),25
n:2 FtTAoS (4),26
n:2 FtTAoS (4),38.4
n:2 FtTAoS (4),32.6
n:2 FtTAoS (4),27.8
n:2 FtTAoS (4),9
n:2 FtTAoS (6),12
n:2 FtTAoS (6),4900
n:2 FtTAoS (6),6100
n:2 FtTAoS (6),11000
n:2 FtTAoS (6),17000
n:2 FtTAoS (6),21000
n:2 FtTAoS (6),9000
n:2 FtTAoS (6),10000
n:2 FtTAoS (6),18000
n:2 FtTAoS (6),10000
n:2 FtTAoS (6),3800
n:2 FtTAoS (6),7100
n:2 FtTAoS (6),1500
n:2 FtTAoS (6),5000
n:2 FtTAoS (6),2100
n:2 FtTAoS (8),6
n:2 FtTAoS (8),24
n:2 FtTAoS (8),170
n:2 FtTAoS (8),1100
n:2 FtTAoS (8),3100
n:2 FtTAoS (8),2700
n:2 FtTAoS (8),103
n:2 FtTAoS (8),49.6
n:2 FtTAoS (8),6
n:2 FtTAoS (8),168
n:2 FTAB (6),4600
n:2 FTAB (6),4800
n:2 FTAB (6),7000
n:2 FTAB (6),4800
n:2 FTAB (6),7500
n:2 FTAB (6),3188
n:2 FTAB (6),109.5
n:2 FTAB (6),337.5
n:2 FTAB (6),95
n:2 FTAB (6),157.5
n:2 FTAB (6),275
n:2 FTAB (8),540
n:2 FTAB (8),1800
n:2 FTAB (8),500
n:2 FTAB (8),300
n:2 FTAB (8),500
n:2 FTAB (10),450
n:2 FTAB (10),830
n:2 FTAB (10),100
n:2 FTAB (12),210
n:2 FTAB (12),430
n:2 FtSaAm (6),2100
n:2 FtSaAm (6),3400
n:2 FtSaAm (6),1800
n:2 FtSaAm (6),400
n:2 FtSaAm (6),1400
n:2 FtSaAm (6),107.5
n:2 FtSaAm (6),60
n:2 FtSaAm (6),90
n:2 FtSaAm (6),125
n:2 FtSaAm (8),450
n:2 FtSaAm (8),720
n:2 FtTHN (6),2200
n:2 H-FTB (5/7/9),2000
n:2 H-FTB (5/7/9),2300
n:2 H-FTB (5/7/9),4700
n:2 H-FTB (5/7/9),4300
n:2 H-FTB (5/7/9),1900
n:2 H-FTB (5/7/9),1400
n:3 FTB (5/7/9),530
n:3 FTB (5/7/9),600
n:3 FTB (5/7/9),610
n:3 FTB (5/7/9),1000
n:3 FTB (5/7/9),430
n:3 FTB (5/7/9),300
