PFAS,conc
PFSA (6),838.5
,
PFSA (6),89.5
,
PFSA (6),172.7
,
PFSA (6),1025.5
,
PFSA (6),1647.6
,
PFSA (7),901.3
,
PFSA (7),410
,
PFSA (7),120
,
PFSA (7),120
,
PFSA (7),93
,
PFSA (7),140
,
PFSA (7),300
,
PFSA (7),200
,
PFSA (7),100
,
PFSA (7),100
,
PFSA (7),100
,
PFSA (7),100
,
PFSA (7),100
,
PFSA (7),100
,
PFSA (7),263.2
,
PFSA (8),568
,
PFSA (8),15000
,
PFSA (8),8000
,
PFSA (8),9300
,
PFSA (8),6700
,
PFSA (8),7900
,
PFSA (8),11000
,
PFSA (8),11000
,
PFSA (8),5100
,
PFSA (8),5600
,
PFSA (8),5300
,
PFSA (8),5700
,
PFSA (8),4900
,
PFSA (8),4900
,
PFSA (8),8000
,
PFSA (8),12000
,
PFSA (8),348
,
PFSA (8),20
,
PFSA (8),58.9
,
PFSA (8),1200
,
PFSA (8),8700
,
PFSA (8),2202.7
,
PFSA (8),2206.2
,
PFSA (8),15.4
,
PFSA (8),1367.2
,
PFSA (8),2760.9
,
PFSA (8),860.3
,
PFSA (8),765.4
,
PFSA (8),2254.5
,
PFSA (8),2622.2
,
PFSA (8),954.9
,
PFSA (8),5310.1
,
PFSA (8),5568.7
,
PFSA (8),634.9
,
PFSA (8),1226.7
,
PFSA (8),5973.7
,
PFSA (8),8897.2
,
PFSA (9),160
,
PFSA (9),53
,
PFSA (9),56
,
PFSA (9),9
,
PFSA (9),27
,
PFSA (9),29.8
,
PFSA (9),30.6
,
PFSA (9),12.7
,
PFSA (9),23.6
,
PFSA (9),5.1
,
PFSA (9),20.7
,
PFSA (9),31.1
,
PFSA (9),14.3
,
PFSA (9),28.5
,
PFSA (9),33.4
,
PFSA (9),86.6
,
PFSA (9),24
,
PFSA (9),19.7
,
PFSA (9),56.8
,
PFSA (10),114.4
,
PFSA (10),102
,
PFSA (10),51
,
PFSA (10),52
,
PFSA (10),11
,
PFSA (10),27
,
PFSA (10),16.7
,
PFSA (10),33.1
,
PFSA (10),34
,
PFSA (10),20.1
,
PFSA (10),3.2
,
PFSA (10),6.3
,
PFSA (10),5.3
,
PFSA (10),27.5
,
PFSA (10),5.2
,
PFSA (10),7.9
,
PFSA (10),7.9
,
PFSA (10),38.5
,
PFSA (10),8.7
,
PFSA (10),21.4
,
PFSA (10),10.6
,
n:2 FTS (4/6/8),0.6
,
n:2 FTS (4/6/8),0.2
,
n:2 FTS (4/6/8),8.4
,
n:2 FTS (4/6/8),26.5
,
n:2 FTS (4/6/8),0.6
,
n:2 FTS (4/6/8),0.4
,
n:2 FTS (4/6/8),0.3
,
n:2 FTS (4/6/8),1.4
,
n:2 FTS (4/6/8),14.4
,
n:2 FTS (4/6/8),52.8
,
n:2 FTS (4/6/8),2.5
,
n:2 FTS (4/6/8),20.9
,
n:2 FTS (4/6/8),0.3
,
n:2 FTS (4/6/8),0.3
,
n:2 FTS (4/6/8),94.6
,
n:2 FTS (4/6/8),15.6
,
n:2 FTS (4/6/8),0.7
,
n:2 FTS (4/6/8),5.8
,
n:2 FTS (4/6/8),29.5
,
n:2 FTS (4/6/8),7.7
,
n:2 FTS (4/6/8),24.8
,
n:2 FTS (4/6/8),8.5
,
PFPA (8/10),0.3
,
PFPA (8/10),0.5
,
PFPA (8/10),1
,
FASA (4/6/8),2.8
,
FASA (4/6/8),49.1
,
FASA (4/6/8),12.3
,
FASA (4/6/8),0.1
,
FASA (4/6/8),0.1
,
FASA (4/6/8),0.3
,
FASA (4/6/8),0.7
,
FASA (4/6/8),0.2
,
FASA (4/6/8),0.1
,
FASA (4/6/8),0.3
,
FASA (4/6/8),0.5
,
FASA (4/6/8),0.1
,
FASA (4/6/8),0.3
,
FASA (4/6/8),1.6
,
FASA (4/6/8),0.7
,
FASA (4/6/8),0.3
,
FASA (4/6/8),0.9
,
Me/Et-FOSA(A),0.2
,
Me/Et-FOSA(A),0.1
,
Me/Et-FOSA(A),0.2
,
Me/Et-FOSA(A),0.6
,
Me/Et-FOSA(A),0.5
,
Me/Et-FOSA(A),0.2
,
Me/Et-FOSA(A),0.3
,
Me/Et-FOSA(A),11.7
,
Me/Et-FOSA(A),0.1
,
Me/Et-FOSA(A),0.1
,
Me/Et-FOSA(A),0.3
,
Me/Et-FOSA(A),0.2
,
Me/Et-FOSA(A),0.6
,
Me/Et-FOSE,2.8
,
Me/Et-FOSE,2.5
,
Me/Et-FOSE,0.7
,
Me/Et-FOSE,5.4
,
Me/Et-FOSE,0.7
,
Me/Et-FOSE,0.6
,
Me/Et-FOSE,1.6
,
Me/Et-FOSE,0.3
,
Me/Et-FOSE,11
,
Me/Et-FOSE,4
,
Me/Et-FOSE,0.5
,
Me/Et-FOSE,0.9
,
Me/Et-FOSE,3.9
,
Me/Et-FOSE,4
,
Me/Et-FOSE,5.1
,
Me/Et-FOSE,0.6
,
Me/Et-FOSE,0.2
,
Me/Et-FOSE,0.2
,
Me/Et-FOSE,0.6
,
Me/Et-FOSE,0.7
,
Me/Et-FOSE,0.2
,
Me/Et-FOSE,10.8
,
Me/Et-FOSE,494
,
Me/Et-FOSE,0.2
,
Me/Et-FOSE,1.3
,
FtTAoS (6),204
,
FtTAoS (6),68.4
,
FtTAoS (6),1.3
,
FtTAoS (6),12.4
,
AmPr-FASA (4),9
,
AmPr-FASA (4),120
,
AmPr-FASA (4),180
,
AmPr-FASA (4),140
,
AmPr-FASA (4),110
,
AmPr-FASA (4),100
,
AmPr-FASA (4),900
,
AmPr-FASA (4),1300
,
AmPr-FASA (4),700
,
AmPr-FASA (4),1300
,
AmPr-FASA (4),1100
,
AmPr-FASA (4),800
,
AmPr-FASA (4),600
,
AmPr-FASA (5),8
,
AmPr-FASA (5),140
,
AmPr-FASA (5),180
,
AmPr-FASA (5),140
,
AmPr-FASA (5),110
,
AmPr-FASA (5),600
,
AmPr-FASA (5),800
,
AmPr-FASA (5),500
,
AmPr-FASA (5),900
,
AmPr-FASA (5),800
,
AmPr-FASA (5),600
,
AmPr-FASA (5),500
,
AmPr-FASA (6),189
,
AmPr-FASA (6),660
,
AmPr-FASA (6),850
,
AmPr-FASA (6),743
,
AmPr-FASA (6),690
,
AmPr-FASA (6),400
,
AmPr-FASA (6),1100
,
AmPr-FASA (6),4800
,
AmPr-FASA (6),5100
,
AmPr-FASA (6),3000
,
AmPr-FASA (6),4700
,
AmPr-FASA (6),5100
,
AmPr-FASA (6),3800
,
AmPr-FASA (6),4200
,
AmPr-FASA (7),12
,
AmPr-FASA (7),15
,
AmPr-FASA (7),30
,
AmPr-FASA (7),24
,
AmPr-FASA (8),9.9
,
AmPr-FASA (8),62
,
AmPr-FASA (8),75
,
AmPr-FASA (8),67
,
AmPr-FASA (8),37
,
AmPr-FASA-PrA (4),140
,
AmPr-FASA-PrA (4),120
,
AmPr-FASA-PrA (4),110
,
AmPr-FASA-PrA (4),150
,
AmPr-FASA-PrA (4),1000
,
AmPr-FASA-PrA (4),1300
,
AmPr-FASA-PrA (4),1100
,
AmPr-FASA-PrA (4),1400
,
AmPr-FASA-PrA (4),1300
,
AmPr-FASA-PrA (4),1200
,
AmPr-FASA-PrA (4),1500
,
AmPr-FASA-PrA (5),4
,
AmPr-FASA-PrA (5),200
,
AmPr-FASA-PrA (5),170
,
AmPr-FASA-PrA (5),140
,
AmPr-FASA-PrA (5),130
,
AmPr-FASA-PrA (5),400
,
AmPr-FASA-PrA (5),600
,
AmPr-FASA-PrA (5),600
,
AmPr-FASA-PrA (5),600
,
AmPr-FASA-PrA (5),500
,
AmPr-FASA-PrA (5),500
,
AmPr-FASA-PrA (5),700
,
AmPr-FASA-PrA (6),930
,
AmPr-FASA-PrA (6),850
,
AmPr-FASA-PrA (6),850
,
AmPr-FASA-PrA (6),960
,
AmPr-FASA-PrA (6),100
,
AmPr-FASA-PrA (6),2200
,
AmPr-FASA-PrA (6),2700
,
AmPr-FASA-PrA (6),2400
,
AmPr-FASA-PrA (6),2600
,
AmPr-FASA-PrA (6),2600
,
AmPr-FASA-PrA (6),2500
,
AmPr-FASA-PrA (6),3600
,
AmPr-FASA-PrA (7),17
,
AmPr-FASA-PrA (7),17
,
AmPr-FASA-PrA (7),34
,
AmPr-FASA-PrA (7),44
,
AmPr-FASA-PrA (8),72
,
AmPr-FASA-PrA (8),58
,
AmPr-FASA-PrA (8),53
,
AmPr-FASA-PrA (8),65
