Source,Target,Type,Id,Label,timeset,Weight
ASV0151,ASV1218,Undirected,143,,,1.818328
ASV0151,ASV1264,Undirected,144,,,1.818328
ASV0151,ASV1276,Undirected,145,,,1.618954
ASV0151,ASV1297,Undirected,146,,,1.985286
ASV0151,ASV1298,Undirected,147,,,1.973967
ASV0151,ASV1321,Undirected,148,,,1.985286
ASV0151,ASV1548,Undirected,149,,,1.977376
ASV0151,ASV1596,Undirected,150,,,1.707021
ASV0151,ASV1718,Undirected,151,,,1.985286
ASV0151,ASV1754,Undirected,152,,,1.810044
ASV0151,ASV1830,Undirected,153,,,1.973967
ASV0151,ASV1907,Undirected,154,,,1.691003
ASV0151,ASV1927,Undirected,155,,,1.99095
ASV0151,ASV1937,Undirected,156,,,2
ASV0151,ASV1967,Undirected,157,,,1.681318
ASV0151,ASV1980,Undirected,158,,,1.687818
ASV0151,ASV2031,Undirected,159,,,1.804686
ASV0151,ASV2064,Undirected,160,,,1.688366
ASV0151,ASV2068,Undirected,161,,,1.995475
ASV0151,ASV2120,Undirected,162,,,1.958121
ASV0151,ASV2151,Undirected,163,,,1.971704
ASV0155,ASV0442,Undirected,164,,,1.794472
ASV0155,ASV1596,Undirected,165,,,1.713968
ASV0155,ASV1861,Undirected,166,,,1.649076
ASV0155,ASV2082,Undirected,167,,,1.702235
ASV0173,ASV1942,Undirected,168,,,2
ASV0179,ASV0535,Undirected,169,,,2
ASV0179,ASV0668,Undirected,170,,,1.991736
ASV0187,ASV1149,Undirected,171,,,1.832214
ASV0201,ASV0309,Undirected,173,,,1.793476
ASV0201,ASV0360,Undirected,174,,,1.986425
ASV0201,ASV0413,Undirected,175,,,1.954751
ASV0201,ASV0415,Undirected,176,,,1.973967
ASV0201,ASV0491,Undirected,177,,,1.994341
ASV0201,ASV0521,Undirected,178,,,1.772081
ASV0201,ASV0523,Undirected,179,,,1.958121
ASV0201,ASV0777,Undirected,180,,,1.959276
ASV0201,ASV0804,Undirected,181,,,1.610376
ASV0201,ASV0829,Undirected,182,,,1.962649
ASV0201,ASV0857,Undirected,183,,,1.986425
ASV0201,ASV0873,Undirected,184,,,1.959276
ASV0201,ASV1023,Undirected,185,,,1.986425
ASV0201,ASV1218,Undirected,186,,,1.805902
ASV0201,ASV1264,Undirected,187,,,1.826612
ASV0201,ASV1297,Undirected,188,,,1.958121
ASV0201,ASV1298,Undirected,189,,,1.958121
ASV0201,ASV1321,Undirected,190,,,1.992077
ASV0201,ASV1548,Undirected,191,,,2
ASV0201,ASV1596,Undirected,192,,,1.703151
ASV0201,ASV1718,Undirected,193,,,1.980759
ASV0201,ASV1754,Undirected,194,,,1.830754
ASV0201,ASV1830,Undirected,195,,,1.958121
ASV0201,ASV1907,Undirected,196,,,1.698751
ASV0201,ASV1927,Undirected,197,,,1.959276
ASV0201,ASV1937,Undirected,198,,,1.977376
ASV0201,ASV1967,Undirected,199,,,1.679381
ASV0201,ASV2031,Undirected,200,,,1.79847
ASV0201,ASV2064,Undirected,201,,,1.674813
ASV0201,ASV2068,Undirected,202,,,1.99095
ASV0201,ASV2103,Undirected,203,,,1.60794
ASV0201,ASV2120,Undirected,204,,,1.971704
ASV0201,ASV2151,Undirected,205,,,1.976231
ASV0202,ASV0204,Undirected,209,,,1.994236
ASV0202,ASV0242,Undirected,210,,,1.618214
ASV0202,ASV0257,Undirected,211,,,1.994236
ASV0202,ASV0486,Undirected,212,,,1.663315
ASV0202,ASV0654,Undirected,213,,,1.994236
ASV0202,ASV0917,Undirected,214,,,1.670217
ASV0202,ASV0939,Undirected,215,,,1.982709
ASV0202,ASV1309,Undirected,216,,,1.976945
ASV0202,ASV1491,Undirected,217,,,2
ASV0202,ASV1652,Undirected,218,,,1.982709
ASV0202,ASV1653,Undirected,219,,,1.994236
ASV0202,ASV2000,Undirected,220,,,1.982709
ASV0202,ASV2084,Undirected,221,,,1.994236
ASV0204,ASV0242,Undirected,226,,,1.60886
ASV0204,ASV0257,Undirected,227,,,1.982709
ASV0204,ASV0486,Undirected,228,,,1.670217
ASV0204,ASV0654,Undirected,229,,,1.982709
ASV0204,ASV0917,Undirected,230,,,1.663315
ASV0204,ASV0939,Undirected,231,,,1.976945
ASV0204,ASV1309,Undirected,232,,,1.982709
ASV0204,ASV1491,Undirected,233,,,1.994236
ASV0204,ASV1652,Undirected,234,,,1.994236
ASV0204,ASV1653,Undirected,235,,,2
ASV0204,ASV2000,Undirected,236,,,1.976945
ASV0204,ASV2084,Undirected,237,,,2
ASV0242,ASV0257,Undirected,242,,,1.622891
ASV0242,ASV0654,Undirected,243,,,1.622891
ASV0242,ASV0939,Undirected,244,,,1.618214
ASV0242,ASV1309,Undirected,245,,,1.60886
ASV0242,ASV1491,Undirected,246,,,1.618214
ASV0242,ASV1652,Undirected,247,,,1.604184
ASV0242,ASV1653,Undirected,248,,,1.60886
ASV0242,ASV2000,Undirected,249,,,1.618214
ASV0242,ASV2084,Undirected,250,,,1.60886
ASV0245,ASV0492,Undirected,252,,,2
ASV0245,ASV0508,Undirected,253,,,2
ASV0245,ASV0600,Undirected,254,,,1.670217
ASV0245,ASV0761,Undirected,255,,,1.670217
ASV0245,ASV0768,Undirected,256,,,2
ASV0245,ASV0949,Undirected,257,,,2
ASV0245,ASV0993,Undirected,258,,,1.991736
ASV0245,ASV1607,Undirected,259,,,2
ASV0245,ASV1612,Undirected,260,,,2
ASV0245,ASV1632,Undirected,261,,,1.991736
ASV0245,ASV1651,Undirected,262,,,2
ASV0245,ASV1921,Undirected,263,,,1.991736
ASV0245,ASV1998,Undirected,264,,,1.663315
ASV0245,ASV2055,Undirected,265,,,1.991736
ASV0245,ASV2115,Undirected,266,,,1.663315
ASV0255,ASV0389,Undirected,268,,,1.822996
ASV0255,ASV0833,Undirected,269,,,1.851342
ASV0255,ASV0872,Undirected,270,,,1.808686
ASV0255,ASV1145,Undirected,271,,,1.73963
ASV0255,ASV1146,Undirected,272,,,1.616386
ASV0255,ASV1431,Undirected,273,,,1.774559
ASV0255,ASV1483,Undirected,274,,,1.789335
ASV0255,ASV1890,Undirected,275,,,1.805141
ASV0255,ASV2005,Undirected,276,,,1.785192
ASV0255,ASV2060,Undirected,277,,,1.642971
ASV0255,ASV2187,Undirected,278,,,1.601543
ASV0257,ASV0317,Undirected,284,,,1.663315
ASV0257,ASV0654,Undirected,285,,,2
ASV0257,ASV0667,Undirected,286,,,1.663315
ASV0257,ASV0939,Undirected,287,,,1.994236
ASV0257,ASV1182,Undirected,288,,,1.663315
ASV0257,ASV1309,Undirected,289,,,1.982709
ASV0257,ASV1486,Undirected,290,,,1.663315
ASV0257,ASV1491,Undirected,291,,,1.994236
ASV0257,ASV1652,Undirected,292,,,1.976945
ASV0257,ASV1653,Undirected,293,,,1.982709
ASV0257,ASV1666,Undirected,294,,,1.663315
ASV0257,ASV1760,Undirected,295,,,1.663315
ASV0257,ASV1771,Undirected,296,,,1.663315
ASV0257,ASV2000,Undirected,297,,,1.994236
ASV0257,ASV2084,Undirected,298,,,1.982709
ASV0257,ASV2086,Undirected,299,,,1.670217
ASV0264,ASV2138,Undirected,300,,,2
ASV0274,ASV0530,Undirected,303,,,1.663325
ASV0274,ASV0610,Undirected,304,,,1.66043
ASV0274,ASV0776,Undirected,305,,,1.73474
ASV0274,ASV0849,Undirected,306,,,1.667403
ASV0274,ASV0941,Undirected,307,,,1.839737
ASV0274,ASV1016,Undirected,308,,,1.632482
ASV0274,ASV1118,Undirected,309,,,1.792831
ASV0274,ASV1144,Undirected,310,,,1.851567
ASV0274,ASV1222,Undirected,311,,,1.788077
ASV0274,ASV1248,Undirected,312,,,1.650617
ASV0274,ASV1367,Undirected,313,,,1.67266
ASV0274,ASV1746,Undirected,314,,,1.616553
ASV0274,ASV2019,Undirected,315,,,1.690121
ASV0287,ASV0358,Undirected,317,,,1.623075
ASV0287,ASV0397,Undirected,318,,,1.633435
ASV0287,ASV0615,Undirected,319,,,1.635375
ASV0287,ASV0621,Undirected,320,,,1.633435
ASV0287,ASV0794,Undirected,321,,,1.623075
ASV0287,ASV0908,Undirected,322,,,1.623075
ASV0287,ASV0924,Undirected,323,,,1.998559
ASV0287,ASV1068,Undirected,324,,,1.633435
ASV0287,ASV1402,Undirected,325,,,1.623075
ASV0287,ASV1599,Undirected,326,,,1.633435
ASV0287,ASV1932,Undirected,327,,,1.633435
ASV0287,ASV1971,Undirected,328,,,1.633435
ASV0287,ASV2073,Undirected,329,,,1.623075
ASV0287,ASV2091,Undirected,330,,,1.633435
ASV0296,ASV1998,Undirected,331,,,1.718459
ASV0298,ASV0521,Undirected,333,,,1.663315
ASV0298,ASV0834,Undirected,334,,,2
ASV0298,ASV1304,Undirected,335,,,2
ASV0298,ASV1327,Undirected,336,,,1.991736
ASV0298,ASV1557,Undirected,337,,,1.991736
ASV0298,ASV1803,Undirected,338,,,1.991736
ASV0309,ASV0360,Undirected,342,,,1.805902
ASV0309,ASV0413,Undirected,343,,,1.826612
ASV0309,ASV0415,Undirected,344,,,1.804852
ASV0309,ASV0491,Undirected,345,,,1.792419
ASV0309,ASV0523,Undirected,346,,,1.829718
ASV0309,ASV0777,Undirected,347,,,1.82247
ASV0309,ASV0804,Undirected,348,,,1.698493
ASV0309,ASV0829,Undirected,349,,,1.825573
ASV0309,ASV0857,Undirected,350,,,1.793476
ASV0309,ASV0873,Undirected,351,,,1.818328
ASV0309,ASV1023,Undirected,352,,,1.814186
ASV0309,ASV1131,Undirected,353,,,1.77263
ASV0309,ASV1218,Undirected,354,,,1.63128
ASV0309,ASV1264,Undirected,355,,,1.619905
ASV0309,ASV1297,Undirected,356,,,1.823501
ASV0309,ASV1298,Undirected,357,,,1.825573
ASV0309,ASV1321,Undirected,358,,,1.792419
ASV0309,ASV1548,Undirected,359,,,1.793476
ASV0309,ASV1597,Undirected,360,,,1.655566
ASV0309,ASV1718,Undirected,361,,,1.815213
ASV0309,ASV1754,Undirected,362,,,1.623697
ASV0309,ASV1830,Undirected,363,,,1.829718
ASV0309,ASV1927,Undirected,364,,,1.818328
ASV0309,ASV1937,Undirected,365,,,1.80176
ASV0309,ASV1975,Undirected,366,,,1.701015
ASV0309,ASV2031,Undirected,367,,,1.65671
ASV0309,ASV2068,Undirected,368,,,1.793476
ASV0309,ASV2120,Undirected,369,,,1.823501
ASV0309,ASV2151,Undirected,370,,,1.806924
ASV0310,ASV0550,Undirected,371,,,2
ASV0310,ASV0638,Undirected,372,,,1.991736
ASV0310,ASV1015,Undirected,373,,,2
ASV0310,ASV1375,Undirected,374,,,2
ASV0310,ASV1379,Undirected,375,,,1.663315
ASV0310,ASV1591,Undirected,376,,,2
ASV0310,ASV1644,Undirected,377,,,1.670217
ASV0310,ASV1871,Undirected,378,,,1.991736
ASV0310,ASV1981,Undirected,379,,,1.991736
ASV0310,ASV2157,Undirected,380,,,2
ASV0317,ASV0654,Undirected,383,,,1.663315
ASV0317,ASV0667,Undirected,384,,,2
ASV0317,ASV0939,Undirected,385,,,1.670217
ASV0317,ASV1182,Undirected,386,,,2
ASV0317,ASV1486,Undirected,387,,,2
ASV0317,ASV1666,Undirected,388,,,2
ASV0317,ASV1760,Undirected,389,,,2
ASV0317,ASV1771,Undirected,390,,,2
ASV0317,ASV2000,Undirected,391,,,1.670217
ASV0317,ASV2086,Undirected,392,,,1.991736
ASV0325,ASV0530,Undirected,394,,,1.732086
ASV0325,ASV0575,Undirected,395,,,1.670708
ASV0325,ASV0604,Undirected,396,,,1.658656
ASV0325,ASV0610,Undirected,397,,,1.636552
ASV0325,ASV0884,Undirected,398,,,1.635982
ASV0325,ASV0941,Undirected,399,,,1.601649
ASV0325,ASV1118,Undirected,400,,,1.626314
ASV0325,ASV1121,Undirected,401,,,1.611954
ASV0325,ASV1144,Undirected,402,,,1.654427
ASV0325,ASV1391,Undirected,403,,,1.645097
ASV0325,ASV1657,Undirected,404,,,1.923315
ASV0330,ASV0555,Undirected,405,,,1.962649
ASV0330,ASV0558,Undirected,406,,,1.958121
ASV0330,ASV0575,Undirected,407,,,1.675067
ASV0330,ASV0600,Undirected,408,,,1.741148
ASV0330,ASV0604,Undirected,409,,,1.67894
ASV0330,ASV0761,Undirected,410,,,1.741148
ASV0330,ASV0807,Undirected,411,,,1.998868
ASV0330,ASV0812,Undirected,412,,,1.998868
ASV0330,ASV0972,Undirected,413,,,1.958121
ASV0330,ASV1071,Undirected,414,,,1.60178
ASV0330,ASV1391,Undirected,415,,,1.688623
ASV0330,ASV1647,Undirected,416,,,1.971704
ASV0330,ASV1923,Undirected,417,,,1.969422
ASV0347,ASV1019,Undirected,418,,,2
ASV0353,ASV0355,Undirected,419,,,1.991736
ASV0353,ASV0490,Undirected,420,,,1.670217
ASV0353,ASV0517,Undirected,421,,,2
ASV0353,ASV1106,Undirected,422,,,2
ASV0353,ASV1170,Undirected,423,,,1.991736
ASV0353,ASV1980,Undirected,424,,,1.670217
ASV0355,ASV0490,Undirected,426,,,1.663315
ASV0355,ASV0517,Undirected,427,,,1.991736
ASV0355,ASV1106,Undirected,428,,,1.991736
ASV0355,ASV1170,Undirected,429,,,2
ASV0355,ASV1980,Undirected,430,,,1.663315
ASV0358,ASV0397,Undirected,433,,,1.991736
ASV0358,ASV0621,Undirected,434,,,1.991736
ASV0358,ASV0794,Undirected,435,,,2
ASV0358,ASV0908,Undirected,436,,,2
ASV0358,ASV0924,Undirected,437,,,1.663315
ASV0358,ASV1068,Undirected,438,,,1.991736
ASV0358,ASV1402,Undirected,439,,,2
ASV0358,ASV1599,Undirected,440,,,1.991736
ASV0358,ASV1932,Undirected,441,,,1.991736
ASV0358,ASV1971,Undirected,442,,,1.991736
ASV0358,ASV2073,Undirected,443,,,2
ASV0358,ASV2091,Undirected,444,,,1.991736
ASV0360,ASV0413,Undirected,448,,,1.968326
ASV0360,ASV0415,Undirected,449,,,1.962649
ASV0360,ASV0490,Undirected,450,,,1.654623
ASV0360,ASV0491,Undirected,451,,,1.976231
ASV0360,ASV0521,Undirected,452,,,1.75676
ASV0360,ASV0523,Undirected,453,,,1.971704
ASV0360,ASV0777,Undirected,454,,,1.9819
ASV0360,ASV0829,Undirected,455,,,1.985286
ASV0360,ASV0857,Undirected,456,,,1.986425
ASV0360,ASV0873,Undirected,457,,,1.959276
ASV0360,ASV1023,Undirected,458,,,1.99095
ASV0360,ASV1131,Undirected,459,,,1.600598
ASV0360,ASV1218,Undirected,460,,,1.810044
ASV0360,ASV1264,Undirected,461,,,1.814186
ASV0360,ASV1297,Undirected,462,,,1.964913
ASV0360,ASV1298,Undirected,463,,,1.976231
ASV0360,ASV1321,Undirected,464,,,1.985286
ASV0360,ASV1548,Undirected,465,,,1.986425
ASV0360,ASV1596,Undirected,466,,,1.683797
ASV0360,ASV1718,Undirected,467,,,1.964913
ASV0360,ASV1754,Undirected,468,,,1.818328
ASV0360,ASV1830,Undirected,469,,,1.971704
ASV0360,ASV1907,Undirected,470,,,1.689066
ASV0360,ASV1927,Undirected,471,,,1.959276
ASV0360,ASV1937,Undirected,472,,,1.959276
ASV0360,ASV1967,Undirected,473,,,1.698751
ASV0360,ASV1980,Undirected,474,,,1.654623
ASV0360,ASV2031,Undirected,475,,,1.804686
ASV0360,ASV2064,Undirected,476,,,1.68643
ASV0360,ASV2068,Undirected,477,,,1.968326
ASV0360,ASV2103,Undirected,478,,,1.618954
ASV0360,ASV2120,Undirected,479,,,1.992077
ASV0360,ASV2151,Undirected,480,,,1.992077
ASV0369,ASV1146,Undirected,481,,,1.632217
ASV0369,ASV1351,Undirected,482,,,1.995475
ASV0369,ASV2060,Undirected,483,,,1.68643
ASV0377,ASV0610,Undirected,484,,,1.622187
ASV0377,ASV1149,Undirected,485,,,1.777948
ASV0389,ASV0832,Undirected,488,,,1.755679
ASV0389,ASV0833,Undirected,489,,,1.976821
ASV0389,ASV0872,Undirected,490,,,1.992547
ASV0389,ASV1145,Undirected,491,,,1.710892
ASV0389,ASV1146,Undirected,492,,,1.899793
ASV0389,ASV1431,Undirected,493,,,1.990052
ASV0389,ASV1483,Undirected,494,,,1.990066
ASV0389,ASV1766,Undirected,495,,,1.737466
ASV0389,ASV1890,Undirected,496,,,1.999172
ASV0389,ASV2005,Undirected,497,,,1.672184
ASV0389,ASV2060,Undirected,498,,,1.891512
ASV0389,ASV2187,Undirected,499,,,1.917219
ASV0397,ASV0621,Undirected,503,,,2
ASV0397,ASV0794,Undirected,504,,,1.991736
ASV0397,ASV0908,Undirected,505,,,1.991736
ASV0397,ASV0924,Undirected,506,,,1.670217
ASV0397,ASV1068,Undirected,507,,,2
ASV0397,ASV1402,Undirected,508,,,1.991736
ASV0397,ASV1599,Undirected,509,,,2
ASV0397,ASV1932,Undirected,510,,,2
ASV0397,ASV1971,Undirected,511,,,2
ASV0397,ASV2073,Undirected,512,,,1.991736
ASV0397,ASV2091,Undirected,513,,,2
ASV0410,ASV1149,Undirected,514,,,1.710619
ASV0413,ASV0415,Undirected,519,,,1.983022
ASV0413,ASV0490,Undirected,520,,,1.766974
ASV0413,ASV0491,Undirected,521,,,1.962649
ASV0413,ASV0523,Undirected,522,,,1.998868
ASV0413,ASV0777,Undirected,523,,,1.995475
ASV0413,ASV0829,Undirected,524,,,1.994341
ASV0413,ASV0857,Undirected,525,,,1.968326
ASV0413,ASV0873,Undirected,526,,,1.995475
ASV0413,ASV1023,Undirected,527,,,1.968326
ASV0413,ASV1131,Undirected,528,,,1.618954
ASV0413,ASV1218,Undirected,529,,,1.814186
ASV0413,ASV1264,Undirected,530,,,1.793476
ASV0413,ASV1276,Undirected,531,,,1.611612
ASV0413,ASV1297,Undirected,532,,,1.998868
ASV0413,ASV1298,Undirected,533,,,1.998868
ASV0413,ASV1321,Undirected,534,,,1.964913
ASV0413,ASV1548,Undirected,535,,,1.954751
ASV0413,ASV1596,Undirected,536,,,1.679926
ASV0413,ASV1718,Undirected,537,,,1.976231
ASV0413,ASV1754,Undirected,538,,,1.789334
ASV0413,ASV1830,Undirected,539,,,1.998868
ASV0413,ASV1907,Undirected,540,,,1.687129
ASV0413,ASV1927,Undirected,541,,,1.995475
ASV0413,ASV1937,Undirected,542,,,1.977376
ASV0413,ASV1967,Undirected,543,,,1.706499
ASV0413,ASV1980,Undirected,544,,,1.766974
ASV0413,ASV2031,Undirected,545,,,1.823334
ASV0413,ASV2064,Undirected,546,,,1.709665
ASV0413,ASV2068,Undirected,547,,,1.963801
ASV0413,ASV2103,Undirected,548,,,1.600598
ASV0413,ASV2120,Undirected,549,,,1.985286
ASV0413,ASV2151,Undirected,550,,,1.980759
ASV0415,ASV0490,Undirected,556,,,1.720709
ASV0415,ASV0491,Undirected,557,,,1.989807
ASV0415,ASV0521,Undirected,558,,,1.64534
ASV0415,ASV0523,Undirected,559,,,1.978482
ASV0415,ASV0777,Undirected,560,,,1.976231
ASV0415,ASV0804,Undirected,561,,,1.619555
ASV0415,ASV0829,Undirected,562,,,1.971687
ASV0415,ASV0857,Undirected,563,,,1.985286
ASV0415,ASV0873,Undirected,564,,,1.994341
ASV0415,ASV1023,Undirected,565,,,1.958121
ASV0415,ASV1218,Undirected,566,,,1.823501
ASV0415,ASV1264,Undirected,567,,,1.817285
ASV0415,ASV1276,Undirected,568,,,1.618034
ASV0415,ASV1297,Undirected,569,,,1.989807
ASV0415,ASV1298,Undirected,570,,,1.980747
ASV0415,ASV1321,Undirected,571,,,1.98641
ASV0415,ASV1548,Undirected,572,,,1.973967
ASV0415,ASV1596,Undirected,573,,,1.704115
ASV0415,ASV1718,Undirected,574,,,1.980747
ASV0415,ASV1754,Undirected,575,,,1.806924
ASV0415,ASV1830,Undirected,576,,,1.978482
ASV0415,ASV1907,Undirected,577,,,1.687115
ASV0415,ASV1927,Undirected,578,,,1.994341
ASV0415,ASV1937,Undirected,579,,,1.998868
ASV0415,ASV1967,Undirected,580,,,1.687115
ASV0415,ASV1980,Undirected,581,,,1.720709
ASV0415,ASV2031,Undirected,582,,,1.805708
ASV0415,ASV2064,Undirected,583,,,1.692228
ASV0415,ASV2068,Undirected,584,,,1.992077
ASV0415,ASV2103,Undirected,585,,,1.601504
ASV0415,ASV2120,Undirected,586,,,1.962627
ASV0415,ASV2151,Undirected,587,,,1.978482
ASV0420,ASV0527,Undirected,588,,,1.617447
ASV0420,ASV1379,Undirected,589,,,1.603423
ASV0420,ASV1644,Undirected,590,,,1.608098
ASV0442,ASV1218,Undirected,592,,,1.754629
ASV0442,ASV1264,Undirected,593,,,1.775897
ASV0442,ASV1596,Undirected,594,,,1.966046
ASV0442,ASV1861,Undirected,595,,,1.833197
