	HLIR65E1	HLIR65E2	HLIR65N2	HLNR32E1	HLNR32E2	HLNR57E1	HLNR57E2	HLNR57N1	HLNR57N2	HLSR32E1	HLSR32E2	HLSR60E1	HLSR60E2	HLSR60N1	HLSR60N2	SLA32L1	SLA32L2	SRA32L1	SRA32L2	SRA7L2	HLA90Hi	HLA90Lo	HRA90Lo
ASV0233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV0235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0237	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ASV0238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0239	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ASV0240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV0241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
ASV0242	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	32	41	0	0	0	2
ASV0243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV0245	0	0	0	0	0	0	0	0	0	0	0	32	16	0	0	0	0	0	0	0	0	0	0
ASV0246	3	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
ASV0247	2	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV0249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV0250	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0251	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0
ASV0252	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV0253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	0
ASV0254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	1	0
ASV0255	0	0	0	6	3	18	25	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ASV0257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	51	0	0	0	1
ASV0258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	15	0
ASV0259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0260	0	0	0	0	0	0	0	1	0	1	0	0	0	7	6	0	0	0	0	0	0	0	0
ASV0261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ASV0262	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0
ASV0263	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV0264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62
ASV0265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
